ip;int;mac;exp;vrf
5.140.168.6;ae1.344;cc:2d:e0:b5:a2:82;968;INTUSI
5.140.168.10;ae4.2448;4c:02:89:0f:28:dc;898;INTUSI
5.140.168.14;ae3.4812;4c:02:89:0d:e9:f3;1258;INTUSI
5.140.168.18;ae3.4116;00:08:dc:00:00:2a;1024;INTUSI
5.140.168.22;ae3.4115;00:08:dc:00:00:29;793;INTUSI
5.140.168.26;ae3.4130;00:08:dc:00:00:34;530;INTUSI
5.140.168.30;ae3.4118;00:08:dc:00:00:3a;203;INTUSI
5.140.168.34;ae3.4120;00:22:b0:a0:ed:c1;548;INTUSI
5.140.168.38;ae3.4119;00:08:dc:00:00:02;795;INTUSI
5.140.168.46;ae4.2785;c4:ad:34:08:88:44;51;INTUSI
5.140.168.50;ae1.5381;00:0c:29:a5:1e:f7;1391;INTUSI
5.140.168.54;ae3.5284;ac:f1:df:dc:e7:e5;972;INTUSI
5.140.168.58;ae4.2520;3c:8a:b0:ae:4f:c0;1209;INTUSI
5.140.168.62;ae1.2546;84:c9:b2:df:e4:6c;1075;INTUSI
5.140.168.86;ae4.885;4c:02:89:0d:ee:87;1303;INTUSI
5.140.168.90;ae1.630;b0:ac:d2:2d:b7:3b;1404;INTUSI
5.140.168.94;ae1.2210;64:d1:54:ab:dc:f2;1197;INTUSI
5.140.168.98;ae3.823;ac:f1:df:dc:e6:1f;1166;INTUSI
5.140.168.102;ae3.1739;cc:2d:e0:65:79:21;637;INTUSI
5.140.168.106;ae1.2902;d4:ca:6d:44:b3:65;726;INTUSI
5.140.168.110;ae4.1764;70:2e:22:68:56:85;1285;INTUSI
5.140.168.113;ae1.2702;00:23:04:41:2e:40;280;INTUSI
5.140.168.118;ae3.4447;28:6f:7f:47:f7:41;641;INTUSI
5.140.168.122;ae4.2335;58:8b:f3:6b:f5:8d;207;INTUSI
5.140.168.126;ae3.4786;00:1c:7f:7c:9a:b6;1190;INTUSI
5.140.168.130;ae1.2903;ec:bd:1d:69:9d:ba;384;INTUSI
5.140.168.138;ae1.409;00:09:0f:09:00:01;1348;INTUSI
5.140.168.146;ae4.242;a4:93:4c:67:61:7f;354;INTUSI
5.140.168.150;ae4.2434;6c:3b:6b:ab:25:89;52;INTUSI
5.140.168.154;ae1.5383;00:0f:02:5a:b5:80;877;INTUSI
5.140.168.158;ae1.5384;1c:74:0d:8e:e5:a5;1104;INTUSI
5.140.168.162;ae1.2702;6c:20:56:49:9d:71;851;INTUSI
5.140.168.166;ae1.2702;4c:4e:35:5f:d9:e0;75;INTUSI
5.140.168.174;ae3.250;00:0e:8f:cf:26:4f;1320;INTUSI
5.140.168.179;ae1.2325;10:0d:7f:6e:c4:af;916;INTUSI
5.140.168.186;ae3.1767;00:1e:7a:a2:53:6c;197;INTUSI
5.140.168.190;ae3.4329;94:de:80:db:d4:1f;865;INTUSI
5.140.168.194;ae1.366;b8:ec:a3:29:75:47;419;INTUSI
5.140.168.195;ae1.366;b8:ec:a3:29:75:47;316;INTUSI
5.140.168.196;ae1.366;b8:ec:a3:29:75:47;406;INTUSI
5.140.168.197;ae1.366;b8:ec:a3:29:75:47;948;INTUSI
5.140.168.198;ae1.366;b8:ec:a3:29:75:47;590;INTUSI
5.140.168.199;ae1.366;b8:ec:a3:29:75:47;18;INTUSI
5.140.168.200;ae1.366;b8:ec:a3:29:75:47;1153;INTUSI
5.140.168.202;ae1.366;b8:ec:a3:29:75:47;378;INTUSI
5.140.168.204;ae1.366;b8:ec:a3:29:75:47;396;INTUSI
5.140.168.205;ae1.366;00:0a:48:24:30:78;1277;INTUSI
5.140.168.206;ae1.366;b8:ec:a3:29:75:47;677;INTUSI
5.140.168.208;ae1.366;c8:6c:87:1d:11:24;1233;INTUSI
5.140.168.209;ae1.366;b8:ec:a3:29:75:47;317;INTUSI
5.140.168.210;ae1.366;b8:ec:a3:29:75:47;739;INTUSI
5.140.168.211;ae1.366;b8:ec:a3:29:75:47;428;INTUSI
5.140.225.2;ae3.2671;90:2b:34:9e:01:68;1327;INTUSI
5.140.225.6;ae4.1399;00:1e:42:12:ce:81;1432;INTUSI
5.140.225.11;ae1.500;00:90:0b:6f:8d:42;1402;INTUSI
5.140.225.13;ae1.500;2c:ab:25:da:d1:37;805;INTUSI
5.140.225.22;ae3.3124;00:24:b2:5d:96:02;965;INTUSI
5.140.225.30;ae1.1295;c8:d3:a3:a3:e6:71;1436;INTUSI
5.140.225.34;ae1.44;fc:ec:da:43:2a:9b;905;INTUSI
5.140.225.38;ae3.142;4c:02:89:0e:ed:e7;925;INTUSI
5.140.225.46;ae3.4820;64:d1:54:e6:24:38;230;INTUSI
5.140.225.54;ae1.5386;50:ff:20:11:56:31;670;INTUSI
5.140.225.58;ae1.3871;5c:d9:98:9e:79:e7;1294;INTUSI
5.140.225.62;ae3.615;d4:6e:0e:93:a6:a7;903;INTUSI
