ip;int;mac;exp;vrf
10.204.3.82;Vlan225;00:40:8c:f3:55:b7;226;guvd_ksvn
10.204.3.83;Vlan225;00:40:8c:f1:ec:9d;115;guvd_ksvn
10.204.3.90;Vlan2179;00:40:8c:f3:55:df;70;guvd_ksvn
10.204.3.91;Vlan2179;00:40:8c:f3:55:c6;88;guvd_ksvn
10.204.4.74;Vlan226;4c:11:bf:dd:e9:b5;0;guvd_ksvn
10.204.4.75;Vlan226;00:18:bc:00:bb:8c;0;guvd_ksvn
10.204.4.154;Vlan1070;00:40:8c:f1:9f:1a;197;guvd_ksvn
10.204.4.155;Vlan1070;00:40:8c:f1:9f:1b;41;guvd_ksvn
10.204.4.156;Vlan1070;7c:1e:b3:00:d3:03;185;guvd_ksvn
10.204.4.157;Vlan1070;00:18:bc:00:be:da;0;guvd_ksvn
10.204.5.2;Vlan1068;00:40:8c:f1:9e:8f;231;guvd_ksvn
10.204.5.3;Vlan1068;00:40:8c:f1:9f:0f;27;guvd_ksvn
10.204.5.4;Vlan1068;7c:1e:b3:00:d3:0a;155;guvd_ksvn
10.204.6.2;Vlan2180;a0:ec:f9:dc:d0:c1;4;guvd_ksvn
10.204.6.3;Vlan2180;40:f2:e9:0e:8c:2e;0;guvd_ksvn
10.204.6.4;Vlan2180;40:f2:e9:0e:88:d7;119;guvd_ksvn
10.204.6.5;Vlan2180;40:f2:e9:0e:8c:5e;205;guvd_ksvn
10.204.6.6;Vlan2180;40:f2:e9:0e:88:6e;20;guvd_ksvn
10.204.9.42;Vlan222;e8:39:35:59:40:90;2;guvd_ksvn
10.4.88.4;Vlan992;e4:27:71:18:9b:01;5;IP-TV
10.4.88.6;Vlan992;e4:27:71:11:63:47;27;IP-TV
10.4.88.9;Vlan992;00:1a:79:13:3e:1d;2;IP-TV
10.4.88.10;Vlan992;e4:27:71:47:e5:58;202;IP-TV
10.4.88.19;Vlan992;38:6b:bb:d3:ad:fa;0;IP-TV
10.4.88.29;Vlan992;38:6b:bb:d3:91:44;0;IP-TV
10.4.88.31;Vlan992;ec:4c:4d:f0:1e:0e;142;IP-TV
10.4.88.45;Vlan992;1c:bb:a8:1a:9a:1e;1;IP-TV
10.4.88.60;Vlan992;e4:27:71:5d:32:9d;162;IP-TV
10.4.88.64;Vlan992;e4:27:71:1e:94:36;4;IP-TV
10.4.88.83;Vlan992;e4:27:71:06:70:c5;1;IP-TV
10.4.88.84;Vlan992;00:1a:79:09:e9:f8;2;IP-TV
10.4.88.100;Vlan992;ec:4c:4d:6e:82:7b;11;IP-TV
10.4.88.101;Vlan992;1c:bb:a8:27:33:67;0;IP-TV
10.4.88.110;Vlan992;e4:27:71:5d:ed:d0;149;IP-TV
10.4.88.111;Vlan992;e4:27:71:0c:27:e4;14;IP-TV
10.4.88.114;Vlan992;ec:4c:4d:6b:31:b4;54;IP-TV
10.4.88.116;Vlan992;ec:4c:4d:f0:27:91;97;IP-TV
10.4.88.125;Vlan992;1c:bb:a8:23:51:b9;4;IP-TV
10.4.88.141;Vlan992;e4:27:71:4d:0e:ab;31;IP-TV
10.4.88.156;Vlan992;00:1a:79:12:ff:7f;1;IP-TV
10.4.88.159;Vlan992;1c:bb:a8:27:06:9e;6;IP-TV
10.4.88.181;Vlan992;e4:27:71:13:ee:f9;2;IP-TV
10.4.88.189;Vlan992;00:02:9b:a2:80:eb;0;IP-TV
10.4.88.198;Vlan992;e4:27:71:5d:2c:83;36;IP-TV
10.4.88.201;Vlan992;00:1a:79:06:5a:64;6;IP-TV
10.4.88.207;Vlan992;1c:bb:a8:19:c0:5c;0;IP-TV
10.4.88.213;Vlan992;e4:27:71:29:b8:38;236;IP-TV
10.4.88.216;Vlan992;e4:27:71:62:75:bc;2;IP-TV
10.4.88.223;Vlan992;e4:27:71:45:cc:8e;100;IP-TV
10.4.88.229;Vlan992;e4:27:71:03:c1:e8;2;IP-TV
10.4.88.239;Vlan992;e4:27:71:67:bf:31;241;IP-TV
10.4.88.241;Vlan992;1c:bb:a8:06:19:07;128;IP-TV
10.4.88.246;Vlan992;1c:bb:a8:1b:a2:bf;242;IP-TV
10.4.88.248;Vlan992;1c:bb:a8:24:d6:c3;0;IP-TV
10.4.89.2;Vlan992;e4:27:71:44:c0:21;219;IP-TV
10.4.89.10;Vlan992;e4:27:71:02:57:75;1;IP-TV
10.4.89.16;Vlan992;1c:bb:a8:24:68:4e;7;IP-TV
10.4.89.31;Vlan992;ec:4c:4d:f2:e1:f9;117;IP-TV
10.4.89.38;Vlan992;00:1a:79:13:35:8b;2;IP-TV
10.4.89.41;Vlan992;e4:27:71:60:e4:0a;163;IP-TV
10.4.89.47;Vlan992;e4:27:71:18:af:3a;136;IP-TV
10.4.89.51;Vlan992;00:1a:79:09:b0:4a;1;IP-TV
10.4.89.60;Vlan992;e4:27:71:06:69:d1;1;IP-TV
10.4.89.88;Vlan992;1c:bb:a8:1b:9a:e7;4;IP-TV
10.4.89.98;Vlan992;00:1a:79:12:f0:48;3;IP-TV
10.4.89.99;Vlan992;ec:4c:4d:f2:e4:3c;78;IP-TV
10.4.89.100;Vlan992;1c:bb:a8:25:11:07;1;IP-TV
10.4.89.104;Vlan992;ec:4c:4d:f0:17:76;115;IP-TV
10.4.89.105;Vlan992;e4:27:71:40:a6:2b;172;IP-TV
10.4.89.108;Vlan992;38:6b:bb:d3:f4:ee;0;IP-TV
10.4.89.109;Vlan992;e4:27:71:52:93:a0;7;IP-TV
10.4.89.122;Vlan992;e4:27:71:08:d6:44;140;IP-TV
10.4.89.128;Vlan992;ec:4c:4d:f0:18:08;94;IP-TV
10.4.89.131;Vlan992;00:02:9b:92:e9:ae;0;IP-TV
10.4.89.136;Vlan992;5c:e3:0e:95:81:b7;1;IP-TV
10.4.89.146;Vlan992;e4:27:71:4e:fb:97;156;IP-TV
10.4.89.153;Vlan992;00:02:9b:9f:5e:f0;1;IP-TV
10.4.89.164;Vlan992;ec:4c:4d:66:6d:ed;201;IP-TV
10.4.89.166;Vlan992;e4:27:71:0f:ee:b2;196;IP-TV
